Valutazione;;;;;EVALUATOR 1 ;;;;;;;;;;;;EVALUATOR 2 ;;;;;;;;;;;;EVALUATOR 3;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;1;A3;1;A2;A2;A3;H2;A2;1;;A;;1;A4;A2;1;1;A3;A2;A2;A3;;A;;A3;A6;A2;1;1;A5;A3;A3;A3
B;#ÁREF!;#ÁREF!;2;#ÁREF!;B;;;B3;1;B2;B2;B2;1;1;B2;;B;;;B3;1;E3;F3;1;H2;1;1;;B;;;B6;D2;E4;F4;B3;1;1;1
C;#ÁREF!;#ÁREF!;3;#ÁREF!;C;;;;D3;E3;F3;G2;H4;I3;L3;;C;;;;D3;E4;F4;1;H3;I3;L3;;C;;;;D5;E5;F5;G3;H5;I5;L5
D;#ÁREF!;#ÁREF!;4;#ÁREF!;D;;;;;D2;D2;D3;H2;D2;1;;D;;;;;E2;F2;D3;D2;D3;D2;;D;;;;;E2;F2;D4;D2;D2;D2
E;#ÁREF!;#ÁREF!;5;#ÁREF!;E;;;;;;1;E2;H2;1;L2;;E;;;;;;1;E3;E2;E3;E2;;E;;;;;;E2;E3;E3;E4;L4
F;#ÁREF!;#ÁREF!;6;#ÁREF!;F;;;;;;;F2;H2;1;L2;;F;;;;;;;F2;F2;F3;F2;;F;;;;;;;F4;F3;F3;F3
G;#ÁREF!;#ÁREF!;7;#ÁREF!;G;;;;;;;;H3;I2;L3;;G;;;;;;;;H3;I2;L3;;G;;;;;;;;H3;I2;L2
H;#ÁREF!;#ÁREF!;8;#ÁREF!;H;;;;;;;;;H2;H2;;H;;;;;;;;;H2;L2;;H;;;;;;;;;1;1
I;#ÁREF!;#ÁREF!;9;#ÁREF!;I;;;;;;;;;;L2;;I;;;;;;;;;;L2;;I;;;;;;;;;;1
L;#ÁREF!;#ÁREF!;10;#ÁREF!;L;;;;;;;;;;;;L;;;;;;;;;;;;L;;;;;;;;;;
Partecipanti;_ Confronto;;;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L;;;A;B;C;D;E;F;G;H;I;L
A;#ÁREF!;#ÁREF!;1;#ÁREF!;A;;1;A3;D2;E2;A2;A2;A3;A3;A3;;A;;A2;A4;A2;A2;A2;A3;A2;A2;A3;;A;;A6;A6;A3;A2;A2;A6;A4;A5;A5
