Criterion;Evaluator;E1-A1;E1-A2;E1-A3;E1-A4;E1-A5;E1-A6;E1-A7;E1-A8;E1-A9;E1-A10;;;;;;;;;;;EV3-A1;EV3-A2;EV3-A3;EV3-A4;EV3-A5;EV3-A6;EV3-A7;EV3-A8;EV3-A9;EV3-A10
C7;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C8;E2;;A2;A3;A2;1;A2;A6;1;A3;1;;;;;;;;;;;;;;;;;;;;
C8;E2;;;1;D3;E2;1;B6;H2;B2;L3;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;D3;E2;1;C6;H3;C2;L3;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;1;D3;D6;H2;D3;L2;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;;E2;E6;1;E3;1;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;;;F6;H3;F2;L2;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;;;;H6;I6;L6;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;;;;;H4;1;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;;;;;;L3;;;;;;;;;;;;;;;;;;;;
C8;E2;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;
C9;E2;;1;A2;1;A2;A2;A3;1;A2;A2;;;;;;;;;;;;;;;;;;;;
C9;E2;;;B2;D2;B2;B2;B4;H2;B2;B2;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;1;1;C2;C4;H2;C2;C3;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;D2;D2;D5;D2;D2;D2;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;;E3;E4;1;E3;E3;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;;;F3;H3;F2;F2;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;;;;H4;I4;L4;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;;;;;H2;H2;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
C9;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10;E2;;A2;A2;A2;1;1;A3;1;1;A3;;;;;;;;;;;;;;;;;;;;
C10;E2;;;B2;D2;E2;B2;B4;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;1;E2;1;1;H2;I2;L2;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;1;1;D2;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;;1;1;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;;;F2;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;;;;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;;;;;1;H2;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C10;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C11;E2;;1;A3;1;A2;A2;A2;1;1;A2;;;;;;;;;;;;;;;;;;;;
C11;E2;;;B2;B2;B2;1;B3;1;1;1;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;D2;E2;1;C2;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;1;1;D2;1;1;1;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;;1;E2;1;1;E2;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;;;F2;1;1;1;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;;;;H2;I2;L2;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;;;;;1;H2;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
C11;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1;E3;;B3;A3;D3;E2;F3;A5;H2;I2;A3;;;;;;;;;;;;;;;;;;;;
C1;E3;;;B3;D2;1;1;B3;1;1;B5;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;D5;E3;F3;1;H3;I3;1;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;D2;D2;D3;D2;D2;D5;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;;1;E5;1;1;E5;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;;;F5;1;F2;F5;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;;;;H5;I4;1;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;;;;;1;H5;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;;;;;;I5;;;;;;;;;;;;;;;;;;;;
C1;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2;E3;;A2;A5;1;1;A2;A4;A3;A5;A5;;;;;;;;;;;;;;;;;;;;
C2;E3;;;B4;D2;E2;1;B3;B2;B4;B4;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;D5;E5;F4;G2;H3;1;1;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;1;D2;D4;D3;D5;D5;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;;E2;E4;E3;E5;E5;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;;;F3;F2;F4;F4;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;;;;H2;G2;G2;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;;;;;H3;H3;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
C2;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C3;E3;;B3;C2;D4;A2;F4;A2;A2;I3;A2;;;;;;;;;;;;;;;;;;;;
C3;E3;;;B2;D2;B4;F2;B4;B4;1;L4;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;D3;C3;F3;C3;H3;I2;L3;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;D5;1;D5;D5;1;D5;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;;F5;1;1;I4;1;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;;;F5;F5;F2;F5;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;;;;1;I4;1;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;;;;;I4;1;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;;;;;;I4;;;;;;;;;;;;;;;;;;;;
C3;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C4;E3;;A3;A2;1;A2;1;1;A4;1;A5;;;;;;;;;;;;;;;;;;;;
C4;E3;;;C2;D3;E2;F3;G3;B2;I3;B3;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;D2;1;F2;G2;C3;I2;C4;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;;D2;1;1;D4;1;D5;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;;;F2;G2;E3;I2;E4;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;;;;1;F4;1;F5;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;;;;;G4;1;G5;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;;;;;;I4;H2;;;;;;;;;;;;;;;;;;;;
C4;E3;;;;;;;;;;I5;;;;;;;;;;;;;;;;;;;;
C5;E3;;A4;A6;1;A2;1;A3;A2;A3;A3;;;;;;;;;;;;;;;;;;;;
C5;E3;;;B4;D3;E3;F5;1;H2;1;L2;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;D6;E5;F6;G4;H4;I4;L4;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;D2;1;D3;D2;D4;D3;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;;F2;E3;E2;E2;E2;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;;;F3;F2;F3;F2;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;;;;H2;1;L2;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;;;;;H2;H2;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C5;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C6;E3;;A3;A6;A2;1;1;A5;A3;A3;A3;;;;;;;;;;;;;;;;;;;;
C6;E3;;;B6;D2;E4;F4;B3;1;1;1;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;D5;E5;F5;G3;H5;I5;L5;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;E2;F2;D4;D2;D2;D2;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;;E2;E3;E3;E4;L4;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;;;F4;F3;F3;F3;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;;;;H3;I2;L2;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
C6;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C7;E3;;A6;A6;A3;A2;A2;A6;A4;A5;A5;;;;;;;;;;;;;;;;;;;;
C7;E3;;;B2;D3;E5;F5;G2;H3;1;L5;;;;;;;;;;;;;;;;;;;;
C7;E3;;;;D5;E5;F5;G5;H5;I5;L4;;;;;;;;;;;;;;;;;;;;
C7;E3;;;;;E3;F3;D4;D2;D2;1;;;;;;;;;;;;;;;;;;;;
C7;E3;;;;;;1;E4;E3;E5;E4;;;;;;;;;;;;;;;;;;;;
C7;E3;;;;;;;F5;F3;F4;F4;;;;;;;;;;;;;;;;;;;;
