Criterion;Evaluator;E1-A1;E1-A2;E1-A3;E1-A4;E1-A5;E1-A6;E1-A7;E1-A8;E1-A9;E1-A10;;;;;;;;;;;EV3-A1;EV3-A2;EV3-A3;EV3-A4;EV3-A5;EV3-A6;EV3-A7;EV3-A8;EV3-A9;EV3-A10
C9;E3;;;;;;;F3;H2;F2;L2;;;;;;;;;;;;;;;;;;;;
C9;E3;;;;;;;;H4;I2;L4;;;;;;;;;;;;;;;;;;;;
C9;E3;;;;;;;;;H3;1;;;;;;;;;;;;;;;;;;;;
C9;E3;;;;;;;;;;L3;;;;;;;;;;;;;;;;;;;;
C9;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10;E3;;1;A2;D2;A2;1;1;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E3;;;B2;D2;B2;1;1;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;D3;1;F2;G2;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;D3;D2;D2;1;1;D2;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;;F2;G2;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;;;1;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;;;;H2;I2;1;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;;;;;1;H2;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C10;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C11;E3;;1;A2;1;1;A2;A4;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C11;E3;;;B2;1;1;B2;B4;B2;B2;B3;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;D2;E2;1;C3;1;1;C2;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;1;D2;D4;D2;D2;D3;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;;E2;E4;E2;E2;E3;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;;;F3;1;1;F2;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;;;;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;;;;;1;H2;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C11;E3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
